Gene	bNum	Rna_37C	Rna_10min	Rna_30min	Rna_2hr	Rna_3hr	Rna_4hr	Rna_6hr	Filter_2f	Cluster group	First ORF	ORF start	TSS	5'UTR length	Other TSS
ampG	b0433	1.18E-04	1.74E-04	2.28E-04	2.38E-04	2.61E-04	2.50E-04	1.72E-04	NO						
yajG	b0434	8.15E-05	9.29E-05	9.19E-05	8.86E-05	1.45E-04	1.17E-04	9.03E-05	NO						
queC	b0444	4.15E-05	7.32E-05	7.16E-05	4.60E-05	2.98E-05	4.11E-05	4.88E-05	NO						
ybaE	b0445	0.00E+00	2.57E-06	3.47E-06	3.88E-06	5.12E-06	4.11E-06	2.50E-06	NO						
tesB	b0452	5.48E-05	4.99E-05	4.47E-05	4.78E-05	5.17E-05	4.32E-05	6.35E-05	NO						
ybaZ	b0454	1.68E-05	9.67E-06	5.16E-06	4.79E-06	6.13E-06	4.51E-06	4.99E-06	NO						
ylaB	b0457	2.08E-05	2.45E-05	3.36E-05	1.06E-04	1.47E-04	1.16E-04	3.35E-05	NO						
ylaC	b0458	9.31E-07	1.86E-05	2.85E-05	1.82E-04	1.95E-04	1.49E-04	5.33E-05	NO						
acrB	b0462	8.02E-04	9.30E-04	1.14E-03	1.08E-03	1.26E-03	1.45E-03	1.72E-03	NO						
acrA	b0463	3.27E-04	3.76E-04	3.58E-04	3.94E-04	4.88E-04	4.92E-04	4.39E-04	NO						
ybaM	b0466	5.66E-06	8.84E-06	9.19E-06	1.18E-05	1.27E-05	1.17E-05	1.60E-05	NO						
priC	b0467	1.66E-05	1.97E-05	2.55E-05	2.40E-05	2.43E-05	1.89E-05	2.58E-05	NO						
aes	b0476	3.13E-06	5.93E-06	8.47E-06	3.47E-05	4.07E-05	4.56E-05	4.67E-05	NO						
ybaL	b0478	1.49E-04	1.51E-04	2.20E-04	4.35E-04	4.74E-04	4.95E-04	3.61E-04	NO						
fsr	b0479	1.29E-05	1.30E-05	1.51E-05	3.23E-05	3.99E-05	3.25E-05	1.96E-05	NO						
ybaK	b0481	3.63E-05	2.34E-05	2.95E-05	2.50E-05	2.98E-05	2.25E-05	1.64E-05	NO						
ybaP	b0482	2.47E-05	2.46E-05	3.22E-05	5.91E-05	7.13E-05	5.94E-05	5.87E-05	NO						
copA	b0484	9.97E-05	1.39E-04	1.75E-04	2.53E-04	2.27E-04	1.57E-04	1.69E-04	NO						
ybbJ	b0488	3.10E-07	1.07E-05	1.48E-05	4.34E-05	6.11E-05	5.61E-05	9.90E-05	NO						
qmcA	b0489	2.50E-05	3.19E-05	4.23E-05	7.41E-05	9.91E-05	1.23E-04	1.61E-04	NO						
ybbN	b0492	3.41E-04	1.88E-04	1.47E-04	1.10E-04	1.35E-04	1.58E-04	2.92E-04	NO						
ybbO	b0493	1.93E-05	5.14E-05	6.87E-05	9.92E-05	1.10E-04	1.38E-04	2.31E-04	NO						
tesA	b0494	2.80E-06	2.30E-05	2.43E-05	5.04E-05	7.21E-05	7.56E-05	9.59E-05	NO						
ylbG	b0502	2.33E-06	3.55E-06	6.70E-06	6.31E-06	2.04E-06	6.46E-06	2.49E-06	NO						
ylbG	b0502	0.00E+00	6.38E-07	6.77E-07	0.00E+00	2.50E-07	3.00E-07	0.00E+00	NO						
ybbB	b0503	2.33E-06	2.93E-05	3.31E-05	4.26E-05	5.24E-05	3.76E-05	4.25E-05	NO						
allS	b0504	1.55E-07	1.98E-06	1.88E-06	1.53E-06	2.56E-07	1.39E-06	8.33E-07	NO						
ylbA	b0515	0.00E+00	1.79E-05	1.20E-05	1.92E-05	3.94E-05	4.75E-05	3.81E-05	NO						
allC	b0516	1.57E-05	1.15E-05	1.05E-05	2.53E-05	2.94E-05	3.57E-05	4.25E-05	NO						
allD	b0517	0.00E+00	0.00E+00	6.48E-06	6.12E-06	1.28E-06	4.38E-06	1.00E-05	NO						
purK	b0522	3.61E-05	8.05E-05	1.35E-04	9.68E-05	4.71E-05	4.54E-05	6.68E-05	NO						
purE	b0523	2.89E-05	4.47E-05	6.70E-05	4.62E-05	3.27E-05	2.63E-05	4.34E-05	NO						
lpxH	b0524	9.58E-05	1.39E-04	1.56E-04	8.39E-05	4.35E-05	5.54E-05	1.03E-04	NO						
ppiB	b0525	6.51E-04	4.59E-04	2.83E-04	1.10E-04	1.08E-04	9.62E-05	1.74E-04	NO						
ybcI	b0527	0.00E+00	7.77E-06	1.48E-05	3.38E-05	2.12E-05	3.04E-05	5.51E-05	NO						
ybcJ	b0528	2.95E-05	5.71E-05	5.54E-05	7.39E-05	7.41E-05	7.53E-05	8.80E-05	NO						
folD	b0529	1.42E-04	1.35E-04	1.68E-04	2.31E-04	2.78E-04	2.91E-04	3.02E-04	NO						
fimZ	b0535	0.00E+00	2.77E-06	1.39E-06	3.67E-06	8.95E-06	8.41E-06	6.66E-06	NO						
intD	b0537	3.33E-05	4.01E-05	4.72E-05	8.11E-05	1.18E-04	1.39E-04	1.20E-04	NO						
xisD	b4633	1.55E-07	5.32E-06	6.69E-06	1.00E-05	2.42E-05	1.48E-05	1.41E-05	NO						
exoD	b0539	0.00E+00	7.88E-07	0.00E+00	1.80E-06	1.79E-06	1.84E-06	1.66E-06	NO						
nmpC	b0553	5.86E-04	6.98E-04	4.57E-04	1.90E-04	1.20E-04	9.37E-05	3.12E-05	NO						
nmpC	b0553	0.00E+00	1.30E-05	1.29E-05	6.10E-06	1.49E-06	2.10E-06	0.00E+00	NO						
insH	b0552	6.83E-05	9.75E-05	8.41E-05	1.07E-04	1.26E-04	8.34E-05	6.97E-05	NO						
borD	b0557	4.58E-04	3.29E-04	1.70E-04	6.24E-05	3.13E-05	3.02E-05	1.36E-05	NO						
ybcV	b0558	0.00E+00	7.89E-07	2.08E-06	6.11E-07	0.00E+00	0.00E+00	0.00E+00	NO						
ylcI	b4589	0.00E+00	0.00E+00	0.00E+00	1.01E-07	2.55E-07	2.04E-07	0.00E+00	NO						
ybcY	b0562	7.30E-06	4.74E-06	4.40E-06	4.48E-06	3.84E-06	8.20E-06	5.00E-06	NO						
ompT	b0565	3.70E-03	2.83E-03	1.70E-03	1.07E-03	9.00E-04	1.04E-03	4.14E-04	NO						
envY	b0566	0.00E+00	1.38E-06	4.05E-06	2.45E-06	4.86E-06	2.87E-06	1.67E-06	NO						
ybcH	b0567	1.55E-07	6.52E-06	1.04E-05	6.93E-06	4.61E-06	6.57E-06	7.50E-06	NO						
nfrA	b0568	4.04E-05	3.71E-05	4.68E-05	5.12E-05	3.61E-05	3.55E-05	4.67E-05	NO						
nfrB	b0569	5.91E-06	2.14E-05	3.19E-05	3.17E-05	2.25E-05	2.69E-05	2.38E-05	NO						
cusS	b0570	1.91E-05	4.25E-05	3.89E-05	3.87E-05	2.36E-05	3.39E-05	2.58E-05	NO						
cusR	b0571	3.54E-05	3.38E-05	3.50E-05	3.83E-05	3.20E-05	3.87E-05	4.33E-05	NO						
ybdG	b0577	8.47E-05	7.63E-05	7.28E-05	7.37E-05	7.81E-05	1.03E-04	1.16E-04	NO						
nfsB	b0578	8.19E-05	9.53E-05	1.07E-04	1.03E-04	1.17E-04	8.58E-05	7.74E-05	NO						
ybdF	b0579	0.00E+00	1.06E-05	9.24E-06	2.55E-05	1.97E-05	2.78E-05	1.33E-05	NO						
ybdJ	b0580	2.01E-06	3.74E-06	1.27E-05	2.60E-05	2.22E-05	2.46E-05	2.64E-05	NO						
ybdK	b0581	4.66E-06	2.77E-06	1.16E-05	2.87E-05	3.43E-05	2.85E-05	2.17E-05	NO						
entD	b0583	7.92E-06	3.75E-06	1.85E-06	6.32E-06	1.18E-05	1.42E-05	1.37E-05	NO						
fepA	b0584	3.45E-05	1.48E-05	2.50E-05	3.71E-05	4.02E-05	5.92E-05	1.62E-04	NO						
fepC	b0588	1.69E-05	6.72E-06	1.34E-05	5.18E-05	6.72E-05	9.79E-05	7.77E-05	NO						
fepG	b0589	1.55E-07	6.72E-06	3.98E-05	1.61E-04	1.97E-04	1.93E-04	1.41E-04	NO						
fepD	b0590	1.55E-07	2.52E-05	9.35E-05	3.36E-04	3.67E-04	3.37E-04	1.78E-04	NO						
fepB	b0592	4.35E-06	7.10E-06	1.88E-05	1.76E-05	3.28E-05	3.18E-05	3.50E-05	NO						
ybdH	b0599	5.70E-04	5.32E-04	4.56E-04	1.53E-04	1.11E-04	1.08E-04	7.36E-05	NO						
ybdM	b0601	1.34E-05	5.93E-07	1.85E-06	2.24E-06	3.07E-06	3.69E-06	3.33E-06	NO						
ybdN	b0602	0.00E+00	1.38E-06	5.09E-06	4.69E-06	1.25E-05	3.28E-06	5.00E-06	NO						
ybdO	b0603	0.00E+00	3.16E-06	6.02E-06	6.12E-06	1.54E-05	1.19E-05	5.00E-06	NO						
dsbG	b0604	2.87E-05	2.53E-05	1.74E-05	1.77E-05	1.82E-05	2.94E-05	2.29E-05	NO						
uspG	b0607	1.02E-05	2.78E-05	2.77E-05	4.13E-05	6.36E-05	7.33E-05	1.28E-04	NO						
rnk	b0610	3.65E-05	5.31E-05	6.09E-05	8.69E-05	9.23E-05	1.01E-04	1.10E-04	NO						
rna	b0611	8.39E-05	5.27E-05	5.47E-05	8.61E-05	1.00E-04	1.07E-04	5.33E-05	NO						
citT	b0612	1.55E-07	4.55E-06	5.74E-06	1.06E-05	7.17E-06	1.47E-05	7.50E-06	NO						
citG	b0613	0.00E+00	7.91E-07	6.94E-07	6.12E-07	0.00E+00	9.23E-07	8.33E-07	NO						
citX	b0614	0.00E+00	9.88E-07	0.00E+00	6.11E-07	7.67E-07	6.15E-07	8.32E-07	NO						
citF	b0615	1.55E-07	1.38E-06	9.26E-07	4.08E-06	1.28E-06	2.46E-06	1.67E-06	NO						
citE	b0616	0.00E+00	0.00E+00	0.00E+00	4.08E-07	0.00E+00	1.03E-06	0.00E+00	NO						
citD	b0617	0.00E+00	0.00E+00	0.00E+00	4.75E-07	1.28E-06	9.32E-07	1.66E-06	NO						
citC	b0618	0.00E+00	0.00E+00	1.16E-06	8.16E-07	5.12E-07	1.64E-06	0.00E+00	NO						
dcuC	b0621	0.00E+00	5.73E-06	6.48E-06	1.18E-05	2.82E-05	1.33E-05	2.00E-05	NO						
crcB	b0624	3.57E-06	1.52E-05	1.04E-05	1.09E-05	8.94E-06	1.18E-05	1.41E-05	NO						
lipA	b0628	4.10E-04	5.30E-04	5.23E-04	5.90E-04	6.48E-04	4.46E-04	3.22E-04	NO						
ybeF	b0629	0.00E+00	7.31E-06	5.16E-06	5.71E-06	5.63E-06	4.72E-06	5.83E-06	NO						
lipB	b0630	7.10E-05	6.12E-05	6.29E-05	5.98E-05	7.14E-05	7.68E-05	5.66E-05	NO						
ybeD	b0631	9.12E-05	5.46E-05	3.97E-05	2.14E-05	2.39E-05	2.17E-05	1.95E-05	NO						
dacA	b0632	2.46E-04	3.51E-04	3.13E-04	3.03E-04	2.83E-04	1.76E-04	1.84E-04	NO						
rlpA	b0633	2.26E-04	2.13E-04	2.69E-04	2.22E-04	2.87E-04	2.25E-04	1.89E-04	NO						
mrdB	b0634	1.26E-04	1.70E-04	2.64E-04	2.34E-04	2.70E-04	2.11E-04	1.69E-04	NO						
mrdA	b0635	1.96E-04	3.57E-04	4.14E-04	4.47E-04	5.02E-04	3.95E-04	2.56E-04	NO						
ybeA	b0636	9.07E-05	1.60E-04	2.08E-04	2.45E-04	2.13E-04	1.80E-04	1.76E-04	NO						
ybeB	b0637	9.41E-05	1.35E-04	1.46E-04	1.99E-04	1.67E-04	1.51E-04	1.37E-04	NO						
cobC	b0638	1.06E-05	3.61E-05	4.06E-05	5.38E-05	6.93E-05	5.32E-05	4.41E-05	NO						
nadD	b0639	5.70E-05	5.35E-05	6.54E-05	6.91E-05	9.24E-05	7.71E-05	6.14E-05	NO						
holA	b0640	6.50E-05	1.36E-04	1.95E-04	1.76E-04	2.08E-04	1.56E-04	1.58E-04	NO						
rlpB	b0641	2.39E-04	2.98E-04	3.21E-04	2.42E-04	2.18E-04	2.06E-04	2.40E-04	NO						
leuS	b0642	1.29E-03	1.29E-03	1.42E-03	1.13E-03	9.47E-04	8.31E-04	9.09E-04	NO						
ybeQ	b0644	0.00E+00	3.36E-06	2.89E-06	7.95E-06	3.58E-06	1.04E-05	1.58E-05	NO						
ybeT	b0647	0.00E+00	5.93E-07	1.16E-06	6.11E-07	5.12E-07	1.64E-06	8.32E-07	NO						
hscC	b0650	7.00E-06	6.92E-06	1.38E-05	1.43E-05	1.82E-05	1.40E-05	8.34E-06	NO						
rihA	b0651	4.24E-05	2.25E-05	2.67E-05	2.63E-05	2.18E-05	1.94E-05	1.92E-05	NO						
gltL	b0652	2.64E-05	2.97E-05	5.46E-05	6.62E-05	6.83E-05	6.74E-05	1.09E-04	NO						
gltK	b0653	1.97E-05	3.16E-05	4.43E-05	5.18E-05	4.86E-05	5.99E-05	7.04E-05	NO						
gltJ	b0654	3.12E-05	2.55E-05	3.66E-05	4.22E-05	6.58E-05	7.66E-05	8.06E-05	NO						
gltI	b0655	9.06E-05	7.87E-05	7.63E-05	9.42E-05	1.22E-04	1.46E-04	1.57E-04	NO						
insH	b0656	6.83E-05	9.75E-05	8.41E-05	1.07E-04	1.26E-04	8.34E-05	6.97E-05	NO						
lnt	b0657	1.06E-04	1.52E-04	2.25E-04	1.96E-04	2.05E-04	1.98E-04	2.23E-04	NO						
ybeX	b0658	2.30E-04	2.39E-04	2.43E-04	1.67E-04	1.55E-04	1.60E-04	2.41E-04	NO						
ybeY	b0659	1.43E-04	1.03E-04	1.09E-04	6.27E-05	5.17E-05	5.67E-05	1.00E-04	NO						
ybeZ	b0660	2.23E-04	1.98E-04	1.72E-04	9.83E-05	1.29E-04	1.01E-04	2.07E-04	NO						
miaB	b0661	2.20E-04	3.15E-04	3.02E-04	2.01E-04	1.72E-04	1.95E-04	3.32E-04	NO						
asnB	b0674	2.54E-04	1.46E-04	2.11E-04	2.48E-04	2.73E-04	2.32E-04	1.52E-04	NO						
nagD	b0675	1.83E-04	1.31E-04	1.47E-04	1.33E-04	1.33E-04	1.17E-04	1.14E-04	NO						
nagC	b0676	1.08E-04	1.22E-04	1.25E-04	1.64E-04	2.28E-04	2.17E-04	1.99E-04	NO						
nagA	b0677	9.78E-05	9.46E-05	1.05E-04	1.25E-04	1.36E-04	1.56E-04	1.71E-04	NO						
nagB	b0678	6.41E-05	4.64E-05	3.68E-05	5.44E-05	7.91E-05	9.48E-05	1.03E-04	NO						
fur	b0683	2.23E-04	3.30E-04	3.09E-04	5.10E-04	5.27E-04	6.50E-04	7.58E-04	NO						
uof	b4637	4.02E-05	5.45E-05	3.02E-05	3.71E-05	9.15E-05	9.83E-05	8.01E-05	NO						
fldA	b0684	3.31E-04	2.56E-04	2.71E-04	2.98E-04	2.80E-04	2.40E-04	2.54E-04	NO						
ybfE	b0685	9.76E-06	2.34E-05	4.20E-05	5.19E-05	3.40E-05	4.12E-05	4.88E-05	NO						
ybfF	b0686	1.65E-05	3.28E-05	3.75E-05	7.11E-05	8.09E-05	6.58E-05	4.75E-05	NO						
ybfG	b0691	0.00E+00	1.19E-06	1.16E-06	9.99E-06	1.28E-05	2.05E-05	4.73E-05	NO						
ybfI	b4636	1.54E-07	0.00E+00	0.00E+00	2.02E-07	2.03E-06	2.04E-07	8.27E-07	NO						
potE	b0692	3.42E-06	6.92E-06	1.18E-05	1.35E-05	1.82E-05	1.56E-05	2.50E-05	NO						
speF	b0693	0.00E+00	3.56E-06	4.40E-06	7.96E-06	6.40E-06	9.86E-06	1.17E-05	NO						
kdpE	b0694	6.68E-06	1.11E-05	1.32E-05	2.01E-05	1.98E-05	1.84E-05	1.56E-05	NO						
kdpD	b0695	4.04E-05	4.76E-05	5.23E-05	4.90E-05	4.20E-05	4.71E-05	4.17E-05	NO						
kdpC	b0696	0.00E+00	2.96E-06	9.02E-06	8.25E-06	5.12E-06	9.51E-06	1.42E-05	NO						
kdpB	b0697	1.55E-07	5.14E-06	5.40E-06	6.73E-06	1.02E-05	8.21E-06	4.17E-06	NO						
kdpA	b0698	0.00E+00	1.58E-06	2.32E-06	4.28E-06	3.41E-06	5.65E-06	3.75E-06	NO						
kdpF	b4513	0.00E+00	9.73E-07	2.28E-07	4.01E-07	0.00E+00	6.06E-07	0.00E+00	NO						
ybgH	b0709	7.62E-06	1.13E-05	1.48E-05	2.20E-05	1.41E-05	1.62E-05	9.17E-06	NO						
abrB	b0715	0.00E+00	4.49E-06	4.40E-06	8.77E-06	9.73E-06	1.01E-05	1.11E-05	NO						
ybgO	b0716	6.22E-07	1.19E-06	2.78E-06	4.69E-06	1.08E-05	1.05E-05	7.50E-06	NO						
ybgP	b0717	4.04E-06	2.17E-06	9.26E-07	5.55E-06	7.93E-06	6.95E-06	5.00E-06	NO						
ybgQ	b0718	0.00E+00	9.89E-07	5.33E-06	2.52E-05	3.38E-05	1.87E-05	5.84E-06	NO						
ybgD	b0719	0.00E+00	1.98E-06	3.47E-06	1.26E-05	8.44E-06	1.09E-05	9.16E-06	NO						
gltA	b0720	2.38E-04	2.44E-04	3.07E-04	9.12E-04	1.18E-03	1.21E-03	1.97E-03	NO						
mngR	b0730	4.10E-05	2.94E-05	2.88E-05	7.06E-05	7.14E-05	6.04E-05	3.12E-05	NO						
zitB	b0752	1.12E-05	4.74E-06	9.72E-06	8.77E-06	6.40E-06	1.45E-05	2.58E-05	NO						
ybgS	b0753	6.21E-06	3.95E-07	4.62E-07	2.85E-06	5.37E-06	6.69E-06	3.51E-05	NO						
gpmA	b0755	1.07E-03	7.85E-04	7.37E-04	5.66E-04	4.20E-04	4.22E-04	4.97E-04	NO						
galM	b0756	2.02E-04	1.42E-04	1.29E-04	1.25E-04	1.26E-04	1.67E-04	1.87E-04	NO						
galK	b0757	5.40E-05	5.08E-05	5.56E-05	9.73E-05	1.35E-04	1.54E-04	2.03E-04	NO						
galT	b0758	2.24E-05	3.96E-05	4.95E-05	7.87E-05	1.17E-04	1.19E-04	1.53E-04	NO						
galE	b0759	6.34E-05	7.33E-05	8.41E-05	1.41E-04	1.65E-04	1.78E-04	1.58E-04	NO						
modF	b0760	4.29E-05	6.24E-05	7.07E-05	1.14E-04	1.13E-04	9.88E-05	7.83E-05	NO						
modE	b0761	4.09E-05	3.87E-05	3.56E-05	4.35E-05	6.27E-05	4.73E-05	4.58E-05	NO						
ybhA	b0766	7.57E-05	5.03E-05	4.17E-05	2.85E-05	2.53E-05	2.09E-05	2.67E-05	NO						
ybhD	b0768	5.44E-06	1.78E-06	2.55E-06	1.43E-06	1.54E-06	4.82E-06	5.83E-06	NO						
ybhC	b0772	3.87E-04	3.19E-04	2.89E-04	1.68E-04	1.47E-04	1.13E-04	1.05E-04	NO						
ybhB	b0773	6.96E-05	9.23E-05	1.31E-04	1.15E-04	1.31E-04	1.75E-04	1.60E-04	NO						
bioA	b0774	3.37E-04	2.95E-04	3.97E-04	4.83E-04	5.27E-04	6.43E-04	5.84E-04	NO						
ybhU	b4591	0.00E+00	1.96E-06	1.61E-06	1.37E-05	2.16E-05	2.70E-05	1.38E-05	NO						
ybhK	b0780	9.42E-05	4.55E-05	4.19E-05	5.86E-05	5.90E-05	5.39E-05	7.00E-05	NO						
ybhN	b0788	0.00E+00	2.57E-06	4.17E-06	6.53E-06	6.66E-06	8.82E-06	9.16E-06	NO						
ybhO	b0789	0.00E+00	3.16E-06	3.47E-06	6.32E-06	1.02E-05	1.21E-05	2.17E-05	NO						
ybhP	b0790	0.00E+00	5.93E-07	2.55E-06	5.91E-06	2.30E-06	5.74E-06	8.75E-06	NO						
ybhR	b0792	6.53E-06	9.29E-06	1.58E-05	1.65E-05	2.56E-05	2.28E-05	1.89E-05	NO						
ybhS	b0793	2.01E-05	1.32E-05	1.93E-05	3.06E-05	3.75E-05	3.96E-05	3.75E-05	NO						
ybhF	b0794	3.25E-05	4.73E-05	5.19E-05	7.39E-05	1.06E-04	8.27E-05	8.82E-05	NO						
ybhG	b0795	2.81E-05	3.19E-05	3.61E-05	7.24E-05	7.49E-05	5.50E-05	7.13E-05	NO						
ybiH	b0796	2.41E-05	2.42E-05	3.30E-05	7.61E-05	8.43E-05	5.75E-05	5.33E-05	NO						
ybiA	b0798	5.59E-06	4.34E-06	4.39E-06	1.51E-06	2.30E-06	3.69E-06	5.83E-06	NO						
ybiJ	b0802	6.51E-06	4.33E-06	6.00E-06	7.32E-06	6.12E-06	6.50E-06	3.32E-06	NO						
ybiI	b0803	0.00E+00	7.88E-07	9.23E-07	1.63E-06	3.32E-06	6.14E-07	9.14E-06	NO						
ybiX	b0804	1.55E-07	1.98E-06	3.93E-06	2.85E-06	4.09E-06	4.31E-06	2.29E-05	NO						
fiu	b0805	2.81E-05	2.02E-05	2.04E-05	1.40E-05	1.97E-05	2.97E-05	1.77E-04	NO						
ybiM	b0806	0.00E+00	3.94E-07	2.31E-07	1.22E-06	0.00E+00	6.14E-07	0.00E+00	NO						
ybiO	b0808	1.43E-05	4.15E-06	6.83E-06	7.21E-06	5.12E-06	9.65E-06	1.92E-05	NO						
glnQ	b0809	1.83E-05	1.69E-05	2.29E-05	1.15E-05	1.13E-05	1.01E-05	1.25E-05	NO						
glnP	b0810	1.51E-05	9.29E-06	1.20E-05	9.64E-06	8.44E-06	7.38E-06	1.08E-05	NO						
glnH	b0811	3.73E-05	1.69E-05	1.22E-05	1.22E-05	4.86E-06	1.44E-05	1.48E-05	NO						
dps	b0812	1.16E-04	4.01E-05	2.18E-05	1.45E-05	2.02E-05	2.05E-05	5.92E-05	NO						
rhtA	b0813	3.42E-06	1.28E-05	1.78E-05	3.94E-05	5.78E-05	4.67E-05	2.83E-05	NO						
ybiS	b0819	1.92E-04	2.22E-04	2.01E-04	2.55E-04	2.97E-04	3.34E-04	3.51E-04	NO						
ybiU	b0821	3.84E-05	1.92E-05	2.36E-05	3.29E-05	2.25E-05	2.21E-05	2.83E-05	NO						
ybiV	b0822	3.96E-05	3.47E-05	3.37E-05	4.29E-05	5.60E-05	4.02E-05	2.58E-05	NO						
ybiW	b0823	0.00E+00	3.36E-06	7.41E-06	1.11E-05	1.10E-05	1.45E-05	1.38E-05	NO						
ybiY	b0824	0.00E+00	5.93E-07	9.26E-07	1.84E-06	2.56E-07	3.08E-06	8.33E-07	NO						
moeB	b0826	2.78E-05	7.50E-05	7.13E-05	6.31E-05	6.65E-05	4.35E-05	6.23E-05	NO						
moeA	b0827	6.79E-05	1.09E-04	8.87E-05	1.10E-04	9.67E-05	9.77E-05	9.98E-05	NO						
yliG	b0835	1.18E-04	1.27E-04	1.06E-04	6.48E-05	3.66E-05	3.73E-05	4.67E-05	NO						
yliJ	b0838	5.76E-05	4.01E-05	3.72E-05	4.38E-05	3.66E-05	3.99E-05	7.30E-05	NO						
deoR	b0840	3.85E-05	5.18E-05	5.98E-05	5.78E-05	5.27E-05	5.23E-05	4.58E-05	NO						
ybjG	b0841	3.23E-06	4.08E-05	4.83E-05	3.32E-05	3.50E-05	3.01E-05	2.79E-05	NO						
ybjH	b0843	1.18E-05	7.86E-06	1.06E-05	1.30E-05	1.16E-05	1.74E-05	2.24E-05	NO						
ybjI	b0844	5.53E-05	2.91E-05	3.13E-05	3.89E-05	4.07E-05	6.08E-05	6.77E-05	NO						
ybjJ	b0845	2.18E-06	2.93E-05	3.82E-05	5.50E-05	6.73E-05	8.55E-05	8.00E-05	NO						
ybjL	b0847	5.66E-05	1.45E-04	2.12E-04	4.46E-04	5.52E-04	6.13E-04	5.43E-04	NO						
grxA	b0849	3.45E-05	1.87E-05	1.07E-05	6.68E-06	8.42E-06	3.48E-06	0.00E+00	NO						
artJ	b0860	7.77E-07	1.32E-05	7.41E-06	1.56E-05	8.96E-06	1.07E-05	9.16E-06	NO						
artM	b0861	2.76E-05	5.96E-05	8.15E-05	4.82E-05	3.66E-05	3.83E-05	3.32E-05	NO						
artQ	b0862	1.24E-05	5.47E-05	5.05E-05	5.10E-05	3.25E-05	2.86E-05	3.41E-05	NO						
artI	b0863	5.97E-05	8.75E-05	7.14E-05	4.55E-05	4.45E-05	2.96E-05	5.26E-05	NO						
artP	b0864	4.49E-05	6.55E-05	4.74E-05	5.30E-05	6.09E-05	3.58E-05	4.75E-05	NO						
ybjP	b0865	2.11E-05	8.29E-06	3.93E-06	3.87E-06	9.72E-06	3.28E-06	7.49E-06	NO						
ybjS	b0868	2.18E-05	4.98E-05	4.51E-05	3.34E-05	2.27E-05	1.76E-05	1.92E-05	NO						
ybjT	b0869	4.06E-05	3.97E-05	3.64E-05	3.26E-05	2.82E-05	3.06E-05	3.21E-05	NO						
ltaE	b0870	7.50E-05	6.29E-05	5.27E-05	4.20E-05	3.84E-05	4.47E-05	4.33E-05	NO						
poxB	b0871	1.20E-05	7.91E-06	6.02E-06	8.36E-06	9.99E-06	1.35E-05	3.50E-05	NO						
hcr	b0872	0.00E+00	1.19E-06	3.13E-06	2.45E-06	1.54E-06	2.87E-06	2.50E-06	NO						
hcp	b0873	3.42E-06	3.96E-06	8.05E-06	5.10E-06	5.38E-06	5.13E-06	1.17E-05	NO						
ybjE	b0874	8.55E-06	1.58E-05	1.66E-05	1.16E-05	1.15E-05	1.66E-05	2.67E-05	NO						
aqpZ	b0875	1.62E-05	8.55E-06	5.78E-06	1.32E-05	1.43E-05	1.68E-05	2.79E-05	NO						
ybjX	b0877	2.94E-04	2.62E-04	1.90E-04	9.50E-05	6.68E-05	5.55E-05	7.17E-05	NO						
cspD	b0880	3.45E-05	1.81E-05	2.05E-05	1.41E-05	9.69E-06	1.38E-05	1.74E-05	NO						
infA	b0884	2.18E-04	3.06E-04	1.69E-04	1.88E-04	1.89E-04	1.71E-04	1.98E-04	NO						
aat	b0885	3.25E-05	3.65E-05	5.21E-05	5.61E-05	6.27E-05	5.27E-05	4.40E-05	NO						
cydC	b0886	5.60E-05	1.25E-04	1.59E-04	1.22E-04	1.02E-04	1.41E-04	1.06E-04	NO						
cydD	b0887	1.03E-04	1.24E-04	1.41E-04	1.42E-04	1.36E-04	1.64E-04	1.15E-04	NO						
trxB	b0888	5.77E-04	4.86E-04	4.01E-04	2.06E-04	1.49E-04	1.23E-04	1.23E-04	NO						
ycaC	b0897	0.00E+00	5.93E-07	5.78E-07	2.04E-07	1.79E-06	2.46E-06	4.58E-06	NO						
ycaN	b0900	1.21E-05	5.14E-06	8.26E-06	5.91E-06	8.19E-06	8.28E-06	7.87E-06	NO						
pflA	b0902	4.13E-05	4.81E-05	7.05E-05	9.37E-05	6.35E-05	7.68E-05	1.62E-04	NO						
pflB	b0903	1.62E-03	1.47E-03	1.09E-03	6.73E-04	5.54E-04	5.14E-04	8.07E-04	NO						
focA	b0904	9.25E-05	8.86E-05	9.68E-05	8.60E-05	8.09E-05	7.51E-05	8.53E-05	NO						
ycaO	b0905	3.79E-04	4.07E-04	3.58E-04	2.79E-04	2.46E-04	2.04E-04	3.08E-04	NO						
ycbC	b0920	6.68E-06	9.29E-06	1.57E-05	1.03E-05	1.18E-05	8.82E-06	1.73E-05	NO						
aspC	b0928	2.32E-04	1.87E-04	2.09E-04	1.26E-04	1.03E-04	1.45E-04	1.98E-04	NO						
ompF	b0929	5.70E-03	4.08E-03	3.32E-03	1.69E-03	1.22E-03	1.38E-03	1.11E-03	NO						
asnS	b0930	1.42E-03	1.30E-03	1.22E-03	1.08E-03	1.04E-03	1.28E-03	1.41E-03	NO						
pncB	b0931	3.53E-04	5.85E-04	6.31E-04	8.92E-04	1.00E-03	9.66E-04	1.01E-03	NO						
ssuB	b0933	0.00E+00	2.17E-06	7.06E-06	7.75E-06	5.89E-06	6.67E-06	6.66E-06	NO						
ssuC	b0934	2.95E-06	1.19E-06	1.16E-06	2.11E-06	2.56E-06	2.67E-06	3.33E-06	NO						
